figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 9,GHr,H_ft=10,35.364668,in,0.486004,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,36.691734,in,0.477683,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,38.018801,in,0.469598,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,39.345867,in,0.46176,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,40.672934,in,0.454599,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,42.0,in,0.448114,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;spreadsheet_x;uniform_sample
Figure 9,GHr,H_ft=14,1.96595,in,0.479964,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 9,GHr,H_ft=14,2.0,in,0.481172,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=14,3.300419,in,0.502133,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,4.0,in,0.505834,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=14,4.634887,in,0.507333,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,5.969355,in,0.507147,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,6.0,in,0.507102,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=14,7.303824,in,0.503738,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,8.0,in,0.500979,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=14,8.638292,in,0.497921,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,9.260247,in,0.494394,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 9,GHr,H_ft=14,9.97276,in,0.489555,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,10.0,in,0.489373,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=14,11.307229,in,0.481359,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,12.0,in,0.477333,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=14,12.641697,in,0.473577,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,13.976165,in,0.466021,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,15.310634,in,0.458731,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,16.645102,in,0.451884,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,17.97957,in,0.44544,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,18.0,in,0.445342,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=14,19.314039,in,0.438641,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,20.648507,in,0.431949,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,21.982975,in,0.425355,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,23.317444,in,0.418841,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,24.0,in,0.415546,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=14,24.651912,in,0.412517,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,25.98638,in,0.406369,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,27.320848,in,0.400066,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,28.655317,in,0.393844,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,29.989785,in,0.387708,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,31.324253,in,0.381711,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,32.658722,in,0.37568,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,33.99319,in,0.369612,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
