figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 12,GLr,H_ft=10,35.249001,in,0.389976,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=10,36.58247,in,0.369185,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=10,37.915938,in,0.348981,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=10,39.249407,in,0.328505,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=10,40.582876,in,0.307018,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=10,41.916344,in,0.284273,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 12,GLr,H_ft=14,1.912287,in,1.252948,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 12,GLr,H_ft=14,2.0,in,1.227603,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 12,GLr,H_ft=14,3.247827,in,0.955319,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,4.0,in,0.853565,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 12,GLr,H_ft=14,4.583367,in,0.792374,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,5.918907,in,0.685571,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
