figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 13,NL,H_ft=14,3.544397,in,1.15162,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,4.870396,in,1.173696,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,6.196395,in,1.196994,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,7.522394,in,1.217919,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,8.848394,in,1.238135,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,10.174393,in,1.257928,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,11.500392,in,1.278615,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,12.826391,in,1.299513,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,14.15239,in,1.320216,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,14.238,in,1.321543,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 13,NL,H_ft=14,14.254252,in,1.321795,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 13,NL,H_ft=14,15.47839,in,1.320348,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,16.804389,in,1.318711,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,18.130388,in,1.317027,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,19.456387,in,1.315345,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,20.782386,in,1.313729,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,22.108386,in,1.31216,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,23.434385,in,1.310498,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,24.507,in,1.309149,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 13,NL,H_ft=14,24.711462,in,1.30889,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 13,NL,H_ft=14,24.760384,in,1.309419,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,26.086383,in,1.323758,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,27.412382,in,1.337082,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,28.738382,in,1.351026,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=14,30.064381,in,1.365303,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
