workbook,figure,factor,curve_name,x_value,digitized_api_value,spreadsheet_value,absolute_difference,percent_difference,status,notes
Highway,Figure 3,KHe,E_prime_ksi=0.5,0.075,149.467395,149.467395,0.0,0.0,PASS,spreadsheet_cell=Tables!D36
Highway,Figure 3,KHe,E_prime_ksi=0.5,0.08,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!D37
Highway,Figure 3,KHe,E_prime_ksi=0.5,5.0,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. Spreadsheet x-value is beyond graph axis maximum. spreadsheet_cell=Tables!D38
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.0,,5772.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!F17
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.00738,5371.262654,5371.262654,0.0,0.0,PASS,spreadsheet_cell=Tables!F18
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.00775,5191.631319,5191.631319,0.0,0.0,PASS,spreadsheet_cell=Tables!F19
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.00825,4986.966487,4986.966487,0.0,0.0,PASS,spreadsheet_cell=Tables!F20
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.01,4421.712494,4421.712494,0.0,0.0,PASS,spreadsheet_cell=Tables!F21
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.0125,3789.925806,3789.925806,0.0,0.0,PASS,spreadsheet_cell=Tables!F22
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.015,3230.830095,3230.830095,0.0,0.0,PASS,spreadsheet_cell=Tables!F23
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.0175,2719.47016,2719.47016,0.0,0.0,PASS,spreadsheet_cell=Tables!F24
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.02,2275.090667,2275.090667,0.0,0.0,PASS,spreadsheet_cell=Tables!F25
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.025,1552.6354,1552.6354,0.0,0.0,PASS,spreadsheet_cell=Tables!F26
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.03,1042.662849,1042.662849,0.0,0.0,PASS,spreadsheet_cell=Tables!F27
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.035,823.383203,823.383203,0.0,0.0,PASS,spreadsheet_cell=Tables!F28
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.04,647.032019,647.032019,0.0,0.0,PASS,spreadsheet_cell=Tables!F29
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.045,530.01545,530.01545,0.0,0.0,PASS,spreadsheet_cell=Tables!F30
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.05,465.990229,465.990229,0.0,0.0,PASS,spreadsheet_cell=Tables!F31
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.055,402.015428,402.015428,0.0,0.0,PASS,spreadsheet_cell=Tables!F32
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.06,338.874442,338.874442,0.0,0.0,PASS,spreadsheet_cell=Tables!F33
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.065,275.851875,275.851875,0.0,0.0,PASS,spreadsheet_cell=Tables!F34
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.07,211.871511,211.871511,0.0,0.0,PASS,spreadsheet_cell=Tables!F35
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.075,149.467395,149.467395,0.0,0.0,PASS,spreadsheet_cell=Tables!F36
Highway,Figure 3,KHe,E_prime_ksi=1.0,0.08,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!F37
Highway,Figure 3,KHe,E_prime_ksi=1.0,5.0,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. Spreadsheet x-value is beyond graph axis maximum. spreadsheet_cell=Tables!F38
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.0,,4443.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!H17
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.00726,4063.879904,4063.879904,0.0,0.0,PASS,spreadsheet_cell=Tables!H18
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.00775,3829.759583,3829.759583,0.0,0.0,PASS,spreadsheet_cell=Tables!H19
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.00825,3645.285057,3645.285057,0.0,0.0,PASS,spreadsheet_cell=Tables!H20
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.01,3166.031095,3166.031095,0.0,0.0,PASS,spreadsheet_cell=Tables!H21
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.0125,2703.318214,2703.318214,0.0,0.0,PASS,spreadsheet_cell=Tables!H22
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.015,2391.657618,2391.657618,0.0,0.0,PASS,spreadsheet_cell=Tables!H23
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.0175,2113.576774,2113.576774,0.0,0.0,PASS,spreadsheet_cell=Tables!H24
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.02,1851.790055,1851.790055,0.0,0.0,PASS,spreadsheet_cell=Tables!H25
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.025,1382.693917,1382.693917,0.0,0.0,PASS,spreadsheet_cell=Tables!H26
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.03,994.741355,994.741355,0.0,0.0,PASS,spreadsheet_cell=Tables!H27
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.035,799.537498,799.537498,0.0,0.0,PASS,spreadsheet_cell=Tables!H28
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.04,647.032019,647.032019,0.0,0.0,PASS,spreadsheet_cell=Tables!H29
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.045,530.01545,530.01545,0.0,0.0,PASS,spreadsheet_cell=Tables!H30
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.05,465.990229,465.990229,0.0,0.0,PASS,spreadsheet_cell=Tables!H31
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.055,402.015428,402.015428,0.0,0.0,PASS,spreadsheet_cell=Tables!H32
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.06,338.874442,338.874442,0.0,0.0,PASS,spreadsheet_cell=Tables!H33
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.065,275.851875,275.851875,0.0,0.0,PASS,spreadsheet_cell=Tables!H34
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.07,211.871511,211.871511,0.0,0.0,PASS,spreadsheet_cell=Tables!H35
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.075,149.467395,149.467395,0.0,0.0,PASS,spreadsheet_cell=Tables!H36
Highway,Figure 3,KHe,E_prime_ksi=2.0,0.08,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!H37
Highway,Figure 3,KHe,E_prime_ksi=2.0,5.0,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. Spreadsheet x-value is beyond graph axis maximum. spreadsheet_cell=Tables!H38
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.0,,11632.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!B18
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.00726,,11632.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!B19
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.00811,10587.668178,10587.668178,0.0,0.0,PASS,spreadsheet_cell=Tables!B20
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.00825,10387.695985,10387.695985,0.0,0.0,PASS,spreadsheet_cell=Tables!B21
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.01,8263.509735,8263.509735,0.0,0.0,PASS,spreadsheet_cell=Tables!B22
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.0125,6253.259838,6253.259838,0.0,0.0,PASS,spreadsheet_cell=Tables!B23
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.015,4817.399319,4817.399319,0.0,0.0,PASS,spreadsheet_cell=Tables!B24
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.0175,3778.69799,3778.69799,0.0,0.0,PASS,spreadsheet_cell=Tables!B25
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.02,2993.515046,2993.515046,0.0,0.0,PASS,spreadsheet_cell=Tables!B26
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.025,1793.592711,1793.592711,0.0,0.0,PASS,spreadsheet_cell=Tables!B27
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.03,1145.78382,1145.78382,0.0,0.0,PASS,spreadsheet_cell=Tables!B28
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.035,799.537498,799.537498,0.0,0.0,PASS,spreadsheet_cell=Tables!B29
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.04,647.032019,647.032019,0.0,0.0,PASS,spreadsheet_cell=Tables!B30
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.045,530.01545,530.01545,0.0,0.0,PASS,spreadsheet_cell=Tables!B31
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.05,465.990229,465.990229,0.0,0.0,PASS,spreadsheet_cell=Tables!B32
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.055,402.015428,402.015428,0.0,0.0,PASS,spreadsheet_cell=Tables!B33
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.06,338.874442,338.874442,0.0,0.0,PASS,spreadsheet_cell=Tables!B34
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.065,275.851875,275.851875,0.0,0.0,PASS,spreadsheet_cell=Tables!B35
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.07,211.871511,211.871511,0.0,0.0,PASS,spreadsheet_cell=Tables!B36
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.075,149.467395,149.467395,0.0,0.0,PASS,spreadsheet_cell=Tables!B37
Railroad,Figure 3,KHe,E_prime_ksi=0.2,0.08,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!B38
Railroad,Figure 3,KHe,E_prime_ksi=0.2,5.0,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. Spreadsheet x-value is beyond graph axis maximum. spreadsheet_cell=Tables!B39
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.0,,7625.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!D18
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.00726,,7625.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!D19
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.00792,7191.417758,7191.417758,0.0,0.0,PASS,spreadsheet_cell=Tables!D20
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.00825,7004.511625,7004.511625,0.0,0.0,PASS,spreadsheet_cell=Tables!D21
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.01,6180.267296,6180.267296,0.0,0.0,PASS,spreadsheet_cell=Tables!D22
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.0125,5174.915097,5174.915097,0.0,0.0,PASS,spreadsheet_cell=Tables!D23
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.015,4253.231171,4253.231171,0.0,0.0,PASS,spreadsheet_cell=Tables!D24
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.0175,3343.972685,3343.972685,0.0,0.0,PASS,spreadsheet_cell=Tables!D25
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.02,2632.836699,2632.836699,0.0,0.0,PASS,spreadsheet_cell=Tables!D26
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.025,1639.56979,1639.56979,0.0,0.0,PASS,spreadsheet_cell=Tables!D27
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.03,1063.296027,1063.296027,0.0,0.0,PASS,spreadsheet_cell=Tables!D28
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.035,799.537498,799.537498,0.0,0.0,PASS,spreadsheet_cell=Tables!D29
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.04,647.032019,647.032019,0.0,0.0,PASS,spreadsheet_cell=Tables!D30
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.045,530.01545,530.01545,0.0,0.0,PASS,spreadsheet_cell=Tables!D31
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.05,465.990229,465.990229,0.0,0.0,PASS,spreadsheet_cell=Tables!D32
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.055,402.015428,402.015428,0.0,0.0,PASS,spreadsheet_cell=Tables!D33
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.06,338.874442,338.874442,0.0,0.0,PASS,spreadsheet_cell=Tables!D34
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.065,275.851875,275.851875,0.0,0.0,PASS,spreadsheet_cell=Tables!D35
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.07,211.871511,211.871511,0.0,0.0,PASS,spreadsheet_cell=Tables!D36
