figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 11,KLr,Er_ksi=10,0.073005,tw/D,180.143973,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.075337,tw/D,176.564857,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.077668,tw/D,173.394154,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.08,tw/D,170.433559,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;spreadsheet_x;uniform_sample
Figure 11,KLr,Er_ksi=20,0.010416,tw/D,260.040895,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 11,KLr,Er_ksi=20,0.012736,tw/D,244.52832,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.015,tw/D,234.317949,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=20,0.015055,tw/D,234.098051,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.017375,tw/D,225.618933,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.019694,tw/D,218.267588,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.02,tw/D,217.361365,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=20,0.022014,tw/D,211.547987,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.024333,tw/D,205.428371,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.026652,tw/D,199.932883,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.028972,tw/D,195.039942,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.029072,tw/D,194.843762,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 11,KLr,Er_ksi=20,0.03,tw/D,193.202725,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=20,0.031291,tw/D,190.913798,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.033611,tw/D,186.850031,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.03593,tw/D,182.8786,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.03825,tw/D,179.010561,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.040569,tw/D,175.181795,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.042889,tw/D,171.314984,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.045208,tw/D,167.550492,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.047528,tw/D,164.001278,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.049847,tw/D,160.538519,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.05,tw/D,160.313324,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=20,0.052167,tw/D,157.124188,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.054486,tw/D,153.803637,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.056805,tw/D,150.61684,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.059125,tw/D,147.543563,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.061444,tw/D,144.559234,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.063764,tw/D,141.679558,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.066083,tw/D,138.948408,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.068403,tw/D,136.376527,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.070722,tw/D,133.929786,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.073042,tw/D,131.603532,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.075361,tw/D,129.520069,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.077681,tw/D,127.818064,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=20,0.08,tw/D,126.496284,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;spreadsheet_x;uniform_sample
Figure 11,KLr,Er_ksi=5,0.010172,tw/D,550.23092,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 11,KLr,Er_ksi=5,0.0103,tw/D,548.529787,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=5,0.0125,tw/D,522.666216,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.014827,tw/D,500.145359,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.015,tw/D,498.624251,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=5,0.017155,tw/D,481.258004,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.019483,tw/D,464.856116,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.02,tw/D,461.492715,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=5,0.02181,tw/D,450.145384,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.024138,tw/D,437.091332,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.026465,tw/D,425.763713,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.028793,tw/D,415.997965,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.029805,tw/D,412.30613,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 11,KLr,Er_ksi=5,0.03,tw/D,411.461052,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=5,0.031121,tw/D,407.100042,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.033448,tw/D,398.366931,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.035776,tw/D,389.904866,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.038103,tw/D,381.541741,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.040431,tw/D,373.143981,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.042759,tw/D,364.494156,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.045086,tw/D,355.859247,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.047414,tw/D,347.579551,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.049741,tw/D,339.162956,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.05,tw/D,338.231402,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=5,0.052069,tw/D,330.685743,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.054397,tw/D,322.202823,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.056724,tw/D,313.80728,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.059052,tw/D,305.445302,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.061379,tw/D,297.01955,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.063707,tw/D,288.547086,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.066034,tw/D,280.130084,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.068362,tw/D,271.780076,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.07069,tw/D,263.334471,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.073017,tw/D,254.657291,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.075345,tw/D,245.920093,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.077672,tw/D,237.698961,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=5,0.08,tw/D,229.420272,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;spreadsheet_x;uniform_sample
